"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"POPERCHGA","Pacific ocean perch Gulf of Alaska","AFSC-POPERCHGA-1959-2010-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-GA","US Alaska"
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-PCOAST","US West Coast"
"PSOLEPCOAST","Petrale sole Pacific Coast","PFMC-PSOLEPCOAST-1930-2011-CHING","Eopsetta jordani","Petrale sole","USA-NMFS-PCOAST","US West Coast"
"REDFEAUS","Redfish Eastern Australia","CSIRO-REDFEAUS-1975-2016-MOESENEDER","Centroberyx affinis","Redfish","Australia-AFMA-EAUS","Australia"
"REDFISHSPP3LN","Redfish species N and SW Grand Banks","NAFO-SC-REDFISHSPP3LN-1959-2013-WATSON","Sebastes spp","Redfish species","multinational-NAFO-3LN","Canada East Coast"
"RHERRTSST","Round herring Tsushima Strait","FAJ-RHERRTSST-1975-2014-KUROTA","Etrumeus teres","Round herring","Japan-FAJ-TSST","Japan"
"RROCKLOBSTERCRA1","Red rock lobster New Zealand Area CRA1","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA1","New Zealand"
"RROCKLOBSTERCRA2","Red rock lobster New Zealand Area CRA2","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA2","New Zealand"
"RROCKLOBSTERCRA4","Red rock lobster New Zealand Area CRA4","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA4","New Zealand"
"RROCKLOBSTERCRA7","Red rock lobster New Zealand Area CRA7","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA7","New Zealand"
"RROCKLOBSTERCRA8","Red rock lobster New Zealand Area CRA8","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA8","New Zealand"
"RSNAPGM","Red snapper Gulf of Mexico","SEFSC-RSNAPGM-1872-2011-HIVELY","Lutjanus campechanus","Red snapper","USA-NMFS-GM","US Southeast and Gulf"
"RSNAPSATLC","Red snapper Southern Atlantic coast","SEFSC-RSNAPSATLC-1954-2010-HIVELY","Lutjanus campechanus","Red snapper","USA-NMFS-SATLC","US Southeast and Gulf"
"RSOLEHSTR","Rock sole Hecate Strait","DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD","Lepidopsetta bilineata","Rock sole","Canada-DFO-HS","Canada West Coast"
"RSROCKBCWN","Redstripe rockfish British Columbia Waters North","DFO-PAC-RSROCKBCWN-1939-2018-ASHBROOK","Sebastes proriger","Redstripe rockfish","Canada-DFO-BCWN","Canada West Coast"
"RSROCKBCWS","Redstripe rockfish British Columbia Waters South","DFO-PAC-RSROCKBCWS-1939-2018-ASHBROOK","Sebastes proriger","Redstripe rockfish","Canada-DFO-BCWS","Canada West Coast"
