"id_timeseries","var_cause","var_consequence","causality","rho_simplex_cons","positive_rho_simplex_cons","test_above_surr","test_kendall_tau","kendall_tau","kendall_pval","rho_max","stocklong","assessid","scientificname","commonname","areaid","region"
"BLKMARLINIO","prodbest.divTB","UdivUmsypref","Yes",0.965050248932989,TRUE,TRUE,TRUE,0.736842036247253,6.43730163574219e-06,0.927429101464654,"Black marlin Indian Ocean","IOTC-BLKMARLINIO-1950-2014-PONS","Istiompax indica","Black marlin","multinational-IOTC-IO","Indian Ocean"
"BLSHARIO","sst.z","prodbest.divTB","No",0.873724866540114,TRUE,FALSE,FALSE,-0.0947368368506432,0.581254780292511,0.522076804480289,"Blue shark Indian Ocean","IOTC-BLSHARIO-1970-2019-SMITH","Prionace glauca","Blue shark","multinational-IOTC-IO","Indian Ocean"
"BLSHARIO","UdivUmsypref","prodbest.divTB","No",0.873724866540114,TRUE,FALSE,FALSE,-0.305263131856918,0.0644110068678856,0.796803315395134,"Blue shark Indian Ocean","IOTC-BLSHARIO-1970-2019-SMITH","Prionace glauca","Blue shark","multinational-IOTC-IO","Indian Ocean"
"BLSHARIO","prodbest.divTB","sst.z","Yes",0.606020871726283,TRUE,TRUE,TRUE,0.557894706726074,0.00065767765045166,0.797910550586784,"Blue shark Indian Ocean","IOTC-BLSHARIO-1970-2019-SMITH","Prionace glauca","Blue shark","multinational-IOTC-IO","Indian Ocean"
"BLSHARIO","prodbest.divTB","UdivUmsypref","Yes",0.971541798533498,TRUE,TRUE,TRUE,0.978947281837463,0,0.932803223039151,"Blue shark Indian Ocean","IOTC-BLSHARIO-1970-2019-SMITH","Prionace glauca","Blue shark","multinational-IOTC-IO","Indian Ocean"
"BLUEROCKCAL","sst.z","prodbest.divTB","No",0.908662795265002,TRUE,FALSE,TRUE,0.96842098236084,0,0.286875014431308,"Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BLUEROCKCAL","UdivUmsypref","prodbest.divTB","Yes",0.908662795265002,TRUE,TRUE,TRUE,0.652631521224976,6.5922737121582e-05,0.485631768083772,"Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BLUEROCKCAL","prodbest.divTB","sst.z","No",0.363182379415753,TRUE,FALSE,FALSE,-0.915789425373077,1.99008383106047e-08,0.054458181221261,"Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BLUEROCKCAL","prodbest.divTB","UdivUmsypref","No",0.86926379816517,TRUE,TRUE,FALSE,0.157894730567932,0.346764087677002,0.489793988286466,"Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","US West Coast"
"BMARLINATL","sst.z","prodbest.divTB","No",0.88076394174611,TRUE,FALSE,FALSE,-0.747368335723877,4.77030289403046e-06,0.473124232014081,"Blue marlin Atlantic Ocean","ICCAT-BMARLINATL-1956-2010-CHING","Makaira nigricans","Blue marlin","multinational-ICCAT-ATL","Atlantic Ocean"
